age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class
40,2,226585,15,10,2,0,5,4,0,0,0,35,38,1
38,2,164050,15,10,2,10,0,2,1,0,0,40,38,1
33,2,29144,9,13,2,3,0,4,1,0,0,55,38,1
56,0,317847,9,13,0,0,1,4,1,0,0,40,38,0
34,4,204052,11,9,2,2,0,4,1,0,0,40,38,1
32,2,104525,11,9,2,2,0,4,1,2407,0,40,38,0
26,2,103700,15,10,4,12,3,4,0,0,0,40,38,0
18,2,304169,1,7,4,11,3,4,1,0,0,35,38,0
24,2,176486,9,13,4,7,1,4,0,0,0,40,38,0
28,2,204600,11,9,5,10,2,4,1,0,0,40,38,0
29,2,213842,15,10,2,2,0,4,1,0,0,40,38,0
70,1,88638,12,14,4,9,4,4,0,7896,0,50,38,1
40,2,304530,5,4,2,2,0,4,1,0,0,40,38,0
25,2,171818,9,13,4,3,3,4,0,0,0,40,38,0
56,2,364899,10,16,2,9,0,4,1,7688,0,65,38,1
61,2,353031,11,9,2,13,0,4,1,0,0,60,38,0
45,2,48271,15,10,2,0,5,4,0,0,0,40,38,1
48,3,287647,10,16,2,9,0,4,1,7688,0,55,38,1
41,2,201908,12,14,2,11,0,4,1,0,0,20,38,0
38,2,105017,11,9,0,2,4,4,1,0,0,40,38,0
49,5,139268,15,10,2,7,0,4,1,0,0,70,38,1
50,3,283676,10,16,2,9,0,4,1,15024,0,60,38,1
38,2,202937,7,12,2,0,5,4,0,0,0,40,38,1
61,2,438587,4,3,2,6,0,2,1,0,0,40,38,0
28,4,398918,9,13,4,9,1,4,1,0,0,50,38,1
50,5,392668,10,16,2,9,0,4,1,0,0,40,38,1
21,2,353628,0,6,5,11,4,2,0,0,0,38,38,0
43,2,107503,9,13,2,9,0,4,1,0,0,48,38,1
31,2,101562,9,13,4,11,1,4,0,0,0,50,38,1
19,2,105908,11,9,4,5,2,4,1,0,0,70,38,0
47,2,160474,11,9,2,3,5,4,0,0,0,30,38,1
18,2,79077,2,8,4,5,3,4,1,0,0,22,38,0
40,2,193995,11,9,2,7,0,4,1,0,0,30,38,0
39,2,151248,15,10,0,11,2,4,0,0,0,35,38,0
45,2,196707,12,14,2,11,0,4,1,0,0,50,38,1
19,2,28145,11,9,4,7,3,4,0,0,0,52,38,0
54,2,230919,11,9,2,2,0,4,1,0,0,40,38,0
24,1,403471,15,10,4,0,3,2,0,0,0,48,38,0
35,2,214816,9,13,2,3,0,4,1,0,0,40,38,1
36,2,280440,7,12,4,12,4,4,0,0,0,45,38,0
52,2,176124,11,9,2,12,0,4,1,0,0,40,38,1
31,2,97723,7,12,2,2,0,4,1,0,0,40,38,1
38,4,65716,8,11,0,7,4,4,0,0,0,40,38,0
49,4,285570,5,4,2,4,0,4,1,0,0,50,38,0
51,2,74660,0,6,2,2,0,4,1,0,0,40,38,1
59,2,246262,15,10,2,12,0,4,1,0,0,40,38,1
29,2,173944,9,13,2,11,0,4,1,0,0,40,38,1
35,2,108293,9,13,6,9,4,4,0,0,0,32,38,1
20,2,236601,15,10,4,11,1,4,1,0,0,20,38,0
44,2,214546,15,10,2,13,0,4,1,0,0,48,38,1
41,2,34037,11,9,4,5,1,4,1,0,0,40,38,0
17,2,89259,1,7,4,0,3,4,0,0,0,15,38,0
43,4,174090,11,9,2,0,5,4,0,0,0,20,38,1
20,2,376416,11,9,4,11,3,4,1,0,0,40,38,0
63,2,106023,11,9,2,2,0,4,1,0,0,40,38,1
43,2,125461,9,13,2,11,0,4,1,0,0,65,38,1
50,2,178530,14,15,2,9,0,4,1,0,0,60,38,1
48,2,75619,11,9,0,13,2,4,1,0,0,60,38,0
51,5,103063,9,13,2,10,0,4,1,7298,0,40,38,1
25,1,117833,9,13,4,9,1,4,0,0,0,35,38,0
40,2,311534,11,9,2,5,0,4,1,0,0,40,38,1
27,2,55743,9,13,2,3,5,2,0,0,0,45,38,1
56,2,392160,11,9,6,11,4,4,0,0,0,25,25,0
28,2,478315,9,13,4,9,3,2,0,0,0,40,38,0
59,0,101626,11,9,2,0,0,4,1,0,0,45,38,1
58,2,259014,15,10,4,13,1,4,1,0,0,20,38,0
34,2,112820,11,9,5,5,1,4,1,2463,0,40,38,0
49,4,204241,9,13,4,11,1,4,1,0,0,45,38,0
56,3,211804,9,13,2,11,0,4,1,15024,0,50,38,1
53,2,375134,15,10,2,11,0,4,1,0,0,60,38,1
42,0,460214,15,10,2,0,0,4,1,0,0,40,38,1
29,1,92262,11,9,4,10,3,4,1,0,0,48,38,0
31,2,170983,9,13,2,3,0,4,1,0,0,60,38,1
44,1,141186,12,14,0,9,1,4,0,8614,0,35,38,1
34,2,236861,11,9,2,7,0,4,1,0,0,45,38,0
43,2,177905,11,9,2,5,0,4,1,3908,0,40,38,0
57,1,47392,11,9,2,3,0,4,1,0,0,40,38,1
28,2,207513,11,9,4,11,3,4,1,0,0,48,38,0
26,2,104830,12,14,4,3,1,4,0,594,0,35,38,0
36,2,263574,8,11,2,0,5,4,0,0,0,40,38,0
29,4,132686,14,15,4,9,3,4,1,0,0,50,21,1
28,2,215873,0,6,4,6,3,2,1,0,0,45,38,0
28,5,175389,7,12,4,0,3,4,0,0,0,40,25,0
57,2,142076,11,9,2,6,0,4,1,4386,0,40,38,1
37,0,106297,11,9,0,5,4,4,1,0,0,40,38,0
44,2,194924,11,9,2,11,0,4,1,0,0,35,38,1
27,2,190525,8,11,4,6,4,4,1,0,0,45,38,0
43,2,185860,9,13,2,9,0,4,1,0,0,40,38,1
22,2,320615,5,4,4,2,3,4,1,0,0,35,38,0
47,2,168262,9,13,4,0,3,4,1,0,0,40,38,0
64,5,143880,9,13,2,9,0,4,1,0,0,40,38,1
40,2,199018,9,13,2,0,0,4,1,0,0,40,38,1
60,2,83861,11,9,2,5,0,4,1,0,0,40,38,0
39,2,214117,15,10,0,2,4,2,1,0,0,40,38,0
46,2,177536,15,10,0,11,4,4,1,0,0,60,38,0
41,2,208470,11,9,2,3,0,4,1,0,0,40,38,1
55,2,229029,9,13,2,3,0,4,1,15024,0,48,38,1
33,4,427474,11,9,2,11,0,4,1,0,0,60,38,1
56,0,277420,9,13,2,3,0,4,1,0,0,40,32,1
47,2,199058,15,10,2,9,0,4,1,0,0,40,38,1
31,2,113838,9,13,2,9,0,4,1,0,0,50,38,0
39,2,35890,9,13,2,11,0,4,1,0,0,50,38,1
41,2,200009,0,6,0,5,4,4,0,0,0,40,38,0
21,5,142766,15,10,4,3,3,4,1,0,0,40,38,0
24,2,326587,15,10,4,11,1,4,1,0,0,40,38,0
37,2,241153,9,13,2,9,0,4,1,15024,0,50,38,1
25,2,207258,6,5,4,0,4,4,0,0,0,40,25,0
59,2,365390,15,10,2,2,0,4,1,0,0,40,38,0
54,2,99185,12,14,2,9,0,4,1,0,0,40,38,1
62,3,354075,9,13,2,3,0,4,1,0,0,50,38,1
64,2,321166,9,13,0,11,1,4,0,0,0,5,38,0
47,0,323798,9,13,2,3,0,4,1,0,0,40,38,1
31,4,210164,11,9,2,3,0,4,1,0,0,40,38,1
28,4,107458,11,9,4,2,3,4,1,0,0,45,38,0
