crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,class
0.00632,18.0,2.31,0,538.0,6575.0,65.2,4.09,1,296,15.3,396.9,4.98,1
0.02731,0.0,7.07,0,469.0,6421.0,78.9,4.9671,2,242,17.8,396.9,9.14,1
0.02729,0.0,7.07,0,469.0,7185.0,61.1,4.9671,2,242,17.8,392.83,4.03,2
0.03237,0.0,2.18,0,458.0,6998.0,45.8,6.0622,3,222,18.7,394.63,2.94,2
0.06905,0.0,2.18,0,458.0,7147.0,54.2,6.0622,3,222,18.7,396.9,5.33,2
0.02985,0.0,2.18,0,458.0,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,1
0.08829,12.5,7.87,0,524.0,6012.0,66.6,5.5605,5,311,15.2,395.6,12.43,1
0.14455,12.5,7.87,0,524.0,6172.0,96.1,5.9505,5,311,15.2,396.9,19.15,1
0.21124,12.5,7.87,0,524.0,5631.0,100.0,6.0821,5,311,15.2,386.63,29.93,1
0.17004,12.5,7.87,0,524.0,6004.0,85.9,6.5921,5,311,15.2,386.71,17.1,1
0.22489,12.5,7.87,0,524.0,6127.0,94.3,6.3467,5,311,15.2,392.52,20.45,0
0.11747,12.5,7.87,0,524.0,6009.0,82.9,6.2267,5,311,15.2,396.9,13.27,1
0.09378,12.5,7.87,0,524.0,5889.0,39.0,5.4509,5,311,15.2,390.5,15.71,1
0.62976,0.0,8.14,0,538.0,5949.0,61.8,4.7075,4,307,21.0,396.9,8.26,1
0.63796,0.0,8.14,0,538.0,6096.0,84.5,4.4619,4,307,21.0,380.02,10.26,1
0.62739,0.0,8.14,0,538.0,5834.0,56.5,4.4986,4,307,21.0,395.62,8.47,1
1.05393,0.0,8.14,0,538.0,5935.0,29.3,4.4986,4,307,21.0,386.85,6.58,1
0.7842,0.0,8.14,0,538.0,5.99,81.7,4.2579,4,307,21.0,386.75,14.67,1
0.80271,0.0,8.14,0,538.0,5456.0,36.6,3.7965,4,307,21.0,288.99,11.69,1
0.7258,0.0,8.14,0,538.0,5727.0,69.5,3.7965,4,307,21.0,390.95,11.28,1
1.25179,0.0,8.14,0,538.0,5.57,98.1,3.7979,4,307,21.0,376.57,21.02,0
0.85204,0.0,8.14,0,538.0,5965.0,89.2,4.0123,4,307,21.0,392.53,13.83,1
1.23247,0.0,8.14,0,538.0,6142.0,91.7,3.9769,4,307,21.0,396.9,18.72,1
0.98843,0.0,8.14,0,538.0,5813.0,100.0,4.0952,4,307,21.0,394.54,19.88,0
0.75026,0.0,8.14,0,538.0,5924.0,94.1,4.3996,4,307,21.0,394.33,16.3,1
0.84054,0.0,8.14,0,538.0,5599.0,85.7,4.4546,4,307,21.0,303.42,16.51,0
0.67191,0.0,8.14,0,538.0,5813.0,90.3,4682.0,4,307,21.0,376.88,14.81,1
0.95577,0.0,8.14,0,538.0,6047.0,88.8,4.4534,4,307,21.0,306.38,17.28,0
0.77299,0.0,8.14,0,538.0,6495.0,94.4,4.4547,4,307,21.0,387.94,12.8,1
1.00245,0.0,8.14,0,538.0,6674.0,87.3,4239.0,4,307,21.0,380.23,11.98,1
1.13081,0.0,8.14,0,538.0,5713.0,94.1,4233.0,4,307,21.0,360.17,22.6,0
1.35472,0.0,8.14,0,538.0,6072.0,100.0,4175.0,4,307,21.0,376.73,13.04,0
1.38799,0.0,8.14,0,538.0,5.95,82.0,3.99,4,307,21.0,232.6,27.71,0
1.15172,0.0,8.14,0,538.0,5701.0,95.0,3.7872,4,307,21.0,358.77,18.35,0
1.61282,0.0,8.14,0,538.0,6096.0,96.9,3.7598,4,307,21.0,248.31,20.34,0
0.06417,0.0,5.96,0,499.0,6127.0,68.2,3.3603,5,279,19.2,396.9,9.68,1
0.09744,0.0,5.96,0,499.0,5841.0,61.4,3.3779,5,279,19.2,377.56,11.41,1
0.08014,0.0,5.96,0,499.0,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,1
0.17505,0.0,5.96,0,499.0,5966.0,30.2,3.8473,5,279,19.2,393.43,10.13,1
0.02763,75.0,2.95,0,428.0,6595.0,21.8,5.4011,3,252,18.3,395.63,4.32,2
0.03359,75.0,2.95,0,428.0,7024.0,15.8,5.4011,3,252,18.3,395.62,1.98,2
0.12744,0.0,6.91,0,448.0,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,1
0.1415,0.0,6.91,0,448.0,6169.0,6.6,5.7209,3,233,17.9,383.37,5.81,1
0.15936,0.0,6.91,0,448.0,6211.0,6.5,5.7209,3,233,17.9,394.46,7.44,1
0.12269,0.0,6.91,0,448.0,6069.0,40.0,5.7209,3,233,17.9,389.39,9.55,1
0.17142,0.0,6.91,0,448.0,5682.0,33.8,5.1004,3,233,17.9,396.9,10.21,1
0.18836,0.0,6.91,0,448.0,5786.0,33.3,5.1004,3,233,17.9,396.9,14.15,1
0.22927,0.0,6.91,0,448.0,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,1
0.25387,0.0,6.91,0,448.0,5399.0,95.3,5.87,3,233,17.9,396.9,30.81,0
0.21977,0.0,6.91,0,448.0,5602.0,62.0,6.0877,3,233,17.9,396.9,16.2,1
0.08873,21.0,5.64,0,439.0,5963.0,45.7,6.8147,4,243,16.8,395.56,13.45,1
0.04337,21.0,5.64,0,439.0,6115.0,63.0,6.8147,4,243,16.8,393.97,9.43,1
0.0536,21.0,5.64,0,439.0,6511.0,21.1,6.8147,4,243,16.8,396.9,5.28,1
0.04981,21.0,5.64,0,439.0,5998.0,21.4,6.8147,4,243,16.8,396.9,8.43,1
0.0136,75.0,4.0,0,0.41,5888.0,47.6,7.3197,3,469,21.1,396.9,14.8,1
0.01311,90.0,1.22,0,403.0,7249.0,21.9,8.6966,5,226,17.9,395.93,4.81,2
0.02055,85.0,0.74,0,0.41,6383.0,35.7,9.1876,2,313,17.3,396.9,5.77,1
0.01432,100.0,1.32,0,411.0,6816.0,40.5,8.3248,5,256,15.1,392.9,3.95,2
0.15445,25.0,5.13,0,453.0,6145.0,29.2,7.8148,8,284,19.7,390.68,6.86,1
